Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,1 ZARE,173.5125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
2,2 ZARE,173.4375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
3,3 ZARE,173.2125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
4,4 ZARE,173.2875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
5,5 ZARE,173.3875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
6,6 ZARE,173.4125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
7,7 Stjak,173.5125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
8,8 ZARE,173.375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
9,9 ZARE,173.5625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
10,10 ZARE,173.1375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
11,11 ZARE,173.2125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
12,12 ZARE,173.1125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
13,13 ZARE,173.3375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
14,14 ZARE,173.2875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
15,15 Krim,173.5375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
16,16 Sm. Gora,173.4375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
17,17 ZARE,173.1875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
18,18 ZARE,173.2125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
19,19 ZARE,173.3875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
20,20 ZARE,173.2375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
21,21 ZARE,173.2625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
22,22 ZARE,173.1875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
23,23 ZARE,173.3125,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
24,24 Zidovnik,173.0875,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
25,25 ZARE,173.3625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
26,26 Nanos,173.2375,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
27,27 ZARE,173.5625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
28,28 Artvize,173.1625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
29,29 ZARE,173.1625,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
30,30 ZARE,173.55,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
31,31 MREP Cerje,173.3,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
32,32 MREP,173.4,,4.5,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
33,33 HELI ZARE,173.075,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
34,34 HELI ZARE,173.1,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
35,35 ZARE,173.125,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
36,36 ZARE,173.15,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
37,37 ZARE,173.175,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
38,38 ZARE,173.2,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
39,39 KGZ Simplex,173.225,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
40,40 ZARE,173.25,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
41,41 ZARE,173.275,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
42,42 ZARE,173.3,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
43,43 ZARE,173.325,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
44,44 ZARE,173.35,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
45,45 ZARE,173.375,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
46,46 ZARE,173.4,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
47,47 ZARE,173.425,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
48,48 ZARE,173.5,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
49,49 ZARE,173.525,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
50,50 ZARE,173.55,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
51,51 ZARE,168.575,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
52,52 ZARE,168.6,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
53,53 ZARE,168.625,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
54,54 ZARE,168.65,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
55,55 ZARE,168.675,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
56,56 ZARE,168.7,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
57,57 ZARE,168.725,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
58,58 ZARE,168.75,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
59,59 ZARE,168.775,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
60,60 ZARE,168.8,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
61,61 ZARE,168.825,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
62,62 ZARE,168.85,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
63,63 ZARE,168.875,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
64,64 ZARE,168.9,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
65,65 ZARE,168.925,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
66,66 ZARE,169,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
67,67 ZARE,169.025,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
68,68 ZARE,169.05,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
69,CELJE UHF,438.95,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
70,BOC UHF,438.825,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
71,MIRNA GORA UHF,438.6,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
72,Slemene UHF,438.625,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
73,KRVAVEC UHF,438.675,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
74,GRMADA UHF,438.7,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
75,BREZICE UHF,438.725,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
76,RADENCI UHF,438.725,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
77,Trstelj UHF,438.75,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
78,Krim UHF,438.775,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
79,Beli Kriz UHF,438.8,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
80,PECNA REBER UHF,438.825,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
81,JANCE UHF,438.875,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
82,Korada UHF,438.875,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
83,SV.ROK UHF,438.9,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
84,Krvavec KOCA UHF,438.925,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
85,LAZE UHF,439,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
86,Lisca UHF,439.075,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
87,Kum UHF,439.125,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
88,MALA KOPA UHF,439.15,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
89,PLANINA UHF,439.175,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
90,CRETEZ UHF,439.2,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
91,Pohorje HB UHF,439.2,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
92,Pohorje RS UHF,439.225,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
93,VOJSKO UHF,439.225,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
94,Mrzlica UHF,439.275,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
95,MALIC UHF,439.3,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
96,ROGASKA UHF,439.325,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
97,STRUSKA UHF,439.325,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
98,Urslja G. U,439.375,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
99,KALOBJE UHF,438.425,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
100,V. Planina UHF,438.925,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
101,Kobla UHF,439.025,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
102,Nanos UHF,438.7,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
103,Ermanovec FM,438.725,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
104,KOKOS FM,438.5,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
105,GoraDornberk,438.6,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
106,PMR01,446.00625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
107,PMR02,446.01875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
108,PMR03,446.03125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
